keyword,polarity,neg_count,pos_count,discrimination
또 시켜,positive,0,1094,0.9990867579908675
감동,positive,0,1028,0.9990281827016521
또 시킬,positive,0,685,0.9985422740524781
최고,positive,4,5924,0.9984820374430764
빠르,positive,8,5498,0.9969130197929907
맛잇,positive,5,3332,0.9967046135410426
굿,positive,5,3208,0.9965774735532047
양 많,positive,0,207,0.9951923076923077
행복,positive,1,599,0.9950083194675541
맛있,positive,212,83842,0.9949437868062578
신속,positive,0,142,0.993006993006993
푸짐,positive,2,593,0.9916107382550335
good,positive,0,63,0.984375
정성,positive,9,1195,0.9842323651452282
사랑,positive,6,627,0.9794952681388013
최애,positive,7,709,0.9790794979079498
따뜻,positive,32,3025,0.9787442773054283
양 많아,positive,0,46,0.9787234042553191
친절,positive,42,3270,0.9743434953214609
촉촉,positive,15,1156,0.9735494880546075
고소,positive,10,555,0.9628975265017667
신선,positive,8,410,0.9594272076372315
추천,positive,20,868,0.953880764904387
바삭,positive,107,3939,0.9468742278230788
단골,positive,8,300,0.9449838187702265
맛 없,negative,9,202,0.910377358490566
양 적,negative,1,22,0.875
짜다,negative,1,19,0.8571428571428571
양이 적,negative,13,144,0.8291139240506329
재구매,positive,3,33,0.8108108108108109
빠짐,negative,2,23,0.8076923076923077
비싸,negative,16,127,0.7708333333333334
맛이 없,negative,35,271,0.7687296416938111
안왔,negative,40,295,0.7589285714285714
맛없,negative,76,411,0.6864754098360656
싱겁,negative,27,141,0.6745562130177515
퍽퍽,negative,38,193,0.6681034482758621
오래 걸,negative,11,57,0.6666666666666666
늦,negative,300,1478,0.6621697582911749
비싼,negative,15,69,0.6352941176470588
없어요,negative,76,301,0.5952380952380952
식었,negative,56,209,0.575187969924812
별로,negative,97,337,0.5517241379310345
배달 늦,negative,6,17,0.4583333333333333
짜요,negative,21,48,0.38571428571428573
토할,negative,3,7,0.36363636363636365
벌레,negative,7,15,0.34782608695652173
딱딱,negative,121,225,0.29971181556195964
누락,negative,110,170,0.21352313167259787
안 와,negative,7,10,0.16666666666666666
